Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Open Water,2003-10-26,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",5.5,1032,en,Drama;Thriller;Horror,79,Scream all you want.,130000,54700000,Plunge Pictures LLC;Lions Gate Films,United States of America,English,tt0374102
The Matrix Revolutions,2003-11-05,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,6.726,9677,en,Adventure;Action;Thriller;Science Fiction,129,Everything that has a beginning has an end.,150000000,424988211,Village Roadshow Pictures;NPV Entertainment;Silver Pictures,United States of America,English;Français,tt0242653
Master and Commander: The Far Side of the World,2003-11-14,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",7.151,3075,en,Adventure;Drama;War,138,The courage to do the impossible lies in the hearts of men.,150000000,212000000,20th Century Fox;Miramax;Universal Pictures;Samuel Goldwyn Films,United States of America,Français;Português;English,tt0311113
The Cat in the Hat,2003-11-21,"During a rainy day, and while their mother is out, Conrad and Sally, and their pet fish, are visited by the mischievous Cat in the Hat. Fun soon turns to mayhem, and the siblings must figure out how to rid themselves of the maniacal Cat.",5.283,1607,en,Comedy;Adventure;Family;Fantasy,81,Don't mess with the hat.,109000000,133800000,Universal Pictures;DreamWorks Pictures;Imagine Entertainment;Brian Grazer Productions;Dr. Seuss Enterprises,United States of America,English,tt0312528
Timeline,2003-11-26,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,5.694,1030,en,Action;Adventure;Science Fiction,116,They had to travel into the past to save the future,80000000,43935763,Paramount Pictures;Mutual Film Company;The Donners' Company;Cobalt Media Group;Artists Production Group (APG),United States of America;Italy,English;Français,tt0300556
The Missing,2003-11-26,"When rancher and single mother of two Maggie Gilkeson sees her teenage daughter, Lily, kidnapped by Apache rebels, she reluctantly accepts the help of her estranged father, Samuel, in tracking down the kidnappers. Along the way, the two must learn to reconcile the past and work together if they are going to have any hope of getting Lily back before she is taken over the border and forced to become a prostitute.",6.302,595,en,Thriller;Western;Adventure,135,"How far would you go, how much would you sacrifice to get back what you have lost?",60000000,38364277,Columbia Pictures;Imagine Entertainment;Revolution Studios;Daniel Ostroff Productions,United States of America,English;Español,tt0338188
The Lord of the Rings: The Return of the King,2003-12-01,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",8.5,23724,en,Adventure;Fantasy;Action,201,There can be no triumph without loss. No victory without suffering. No freedom without sacrifice.,94000000,1118888979,New Line Cinema;WingNut Films;The Saul Zaentz Company,New Zealand;United States of America,English,tt0167260
The Last Samurai,2003-12-05,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",7.59,6696,en,Drama;Action;War,154,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",140000000,456800000,Warner Bros. Pictures;Radar Pictures;Bedford Falls Productions;Cruise/Wagner Productions,New Zealand;United States of America,English;日本語,tt0325710
The Station Agent,2003-12-05,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",7.363,644,en,Drama;Comedy,88,Loneliness is much better when you have got someone to share it with.,500000,8679814,Next Wednesday Productions;SenArt Films,United States of America,English,tt0340377
Something's Gotta Give,2003-12-12,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",6.622,1540,en,Drama;Comedy;Romance,128,"After a lifetime of going from girl to girl, the ultimate bachelor is about to encounter something new.",80000000,270000000,Columbia Pictures;Warner Bros. Pictures;Waverly Films,United States of America,Français;English,tt0337741
Peter Pan,2003-12-18,"In stifling Edwardian London, Wendy Darling mesmerizes her brothers every night with bedtime tales of swordplay, swashbuckling and the fearsome Captain Hook. But the children become the heroes of an even greater story, when Peter Pan flies into their nursery one night and leads them over moonlit rooftops through a galaxy of stars and to the lush jungles of Neverland.",7.2,2552,en,Adventure;Fantasy;Family,113,All children grow up except one.,100000000,121975011,Universal Pictures;Columbia Pictures;Revolution Studios;Red Wagon Entertainment;Allied Stars,United Kingdom;United States of America,English;Français;;ελληνικά;Português,tt0316396
Mona Lisa Smile,2003-12-19,"Katherine Watson is a recent UCLA graduate hired to teach art history at the prestigious all-female Wellesley College, in 1953. Determined to confront the outdated mores of society and the institution that embraces them, Katherine inspires her traditional students, including Betty and Joan, to challenge the lives they are expected to lead.",6.9,1671,en,Drama;History;Romance,120,They had everything. She showed them more.,65000000,0,Columbia Pictures;Revolution Studios;Red Om Films,United States of America,English;Italiano,tt0304415
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003-12-20,"Inuyasha and his brother, Sesshomaru, each inherited a sword from their father after his death. However, their father had a third sword, named Sounga, that he sealed away. Seven hundreds years after his death, Sounga awakens and threatens mankind's very existence. How will the children of the Great Dog Demon stop this unimaginable power?",7.7,136,ja,Animation;Fantasy;Adventure,99,The Three Swords of the Fang collide in an epic battle!,0,0,Kyoto Animation,Japan,日本語,tt0396659
Monster,2003-12-24,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes America's first female serial killer.",7.223,2251,en,Crime;Drama,110,Based on a true story,8000000,60400000,Newmarket Films;Media 8 Entertainment;DEJ Productions;K/W Productions;Denver & Delilah Films;VIP 2 Medienfonds;MDP Worldwide,United States of America,English,tt0340855
Cold Mountain,2003-12-24,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",6.922,1718,en,Drama;War;History;Adventure;Romance,154,Find the strength. Find the courage. No matter what it takes... find the way home.,79000000,173013509,Miramax;Mirage Enterprises;Castel Film;Cattleya;Bona Fide Productions,United States of America;United Kingdom;Romania;Italy,English,tt0159365
Monster,2003-12-24,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes America's first female serial killer.",7.223,2251,en,Crime;Drama,110,Based on a true story,8000000,60400000,Newmarket Films;Media 8 Entertainment;DEJ Productions;K/W Productions;Denver & Delilah Films;VIP 2 Medienfonds;MDP Worldwide,United States of America,English,tt0340855
Big Fish,2003-12-25,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",7.762,7039,en,Adventure;Fantasy;Drama,125,An adventure as big as life itself.,70000000,123200000,Columbia Pictures;The Zanuck Company;Jinks/Cohen Company;Tim Burton Productions,United States of America,English,tt0319061
The Butterfly Effect,2004-01-17,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.",7.575,7344,en,Science Fiction;Thriller,120,Change one thing. Change everything.,13000000,96800000,FilmEngine;Katalyst Films;BenderSpink;New Line Cinema,Canada;United States of America,English,tt0289879
Speak,2004-01-20,"Freshman high-school student Melinda has refused to speak ever since she called the cops on a popular summer party. With her old friends snubbing her for being a rat, and her parents too busy to notice her troubles, she folds into herself, trying to hide her secret: that star senior Andy raped her at the party. But Melinda does manage to find solace in her art class headed by Mr. Freeman.",6.98,441,en,Drama,89,The Truth Will Change Everything.,1000000,0,Speak Film Inc.;Showtime Independent Films,United States of America,English,tt0378793
